text,station,measurand,calculation,representation
"Wie ist der o3 in Eggenstein?",Eggenstein,o3,,
"Wie ist der Ozon in Eggenstein?",Eggenstein,Ozon,,
"Wie ist der luqx in DEBW084?",DEBW084,luqx,,
"Wie ist der Stickstoffdioxid in DEBW084?",DEBW084,Stickstoffdioxid,,
"Wie ist der o3 in DEBW084?",DEBW084,o3,,
"Wie ist der Ozon in DEBW084?",DEBW084,Ozon,,
"Wie ist der Luftqualitätsindex in Freiburg?",Freiburg,Luftqualitätsindex,,
"Wie ist der luqx in DEBW122?",DEBW122,luqx,,
"Wie ist der o3 in DEBW122?",DEBW122,o3,,
"Wie ist der luqx in Freiburg Schwarzwaldstraße?",Freiburg Schwarzwaldstraße,luqx,,
"Wie ist der Luftqualitätsindex in Freiburg Schwarzwaldstraße?",Freiburg Schwarzwaldstraße,Luftqualitätsindex,,
"Wie ist der o3 in Freiburg Schwarzwaldstraße?",Freiburg Schwarzwaldstraße,o3,,
"Wie ist der Ozon in Freiburg Schwarzwaldstraße?",Freiburg Schwarzwaldstraße,Ozon,,
"Wie ist der pm10 in Freiburg Schwarzwaldstraße?",Freiburg Schwarzwaldstraße,pm10,,
"Wie ist der luqx in DEBW038?",DEBW038,luqx,,
"Wie ist der no2 in DEBW038?",DEBW038,no2,,
"Wie ist der Stickstoffdioxid in DEBW038?",DEBW038,Stickstoffdioxid,,
"Wie ist der pm10 in DEBW038?",DEBW038,pm10,,
"Wie ist der pm25k in DEBW038?",DEBW038,pm25k,,
"Wie ist der no2 in Friedrichshafen?",Friedrichshafen,no2,,
"Wie ist der Stickstoffdioxid in Friedrichshafen?",Friedrichshafen,Stickstoffdioxid,,
"Wie ist der pm10 in Friedrichshafen?",Friedrichshafen,pm10,,
"Wie ist der luqx in DEBW112?",DEBW112,luqx,,
"Wie ist der no2 in DEBW112?",DEBW112,no2,,
"Wie ist der Stickstoffdioxid in DEBW112?",DEBW112,Stickstoffdioxid,,
"Wie ist der o3 in DEBW112?",DEBW112,o3,,
"Wie ist der Luftqualitätsindex in Gärtringen?",Gärtringen,Luftqualitätsindex,,
"Wie ist der no2 in Gärtringen?",Gärtringen,no2,,
"Wie ist der Stickstoffdioxid in Gärtringen?",Gärtringen,Stickstoffdioxid,,
"Wie ist der pm10 in Gärtringen?",Gärtringen,pm10,,
"Wie ist der luqx in DEBW009?",DEBW009,luqx,,
"Wie ist der Luftqualitätsindex in DEBW009?",DEBW009,Luftqualitätsindex,,
"Wie ist der no2 in DEBW009?",DEBW009,no2,,
"Wie ist der o3 in DEBW009?",DEBW009,o3,,
"Wie ist der Ozon in DEBW009?",DEBW009,Ozon,,
"Wie ist der luqx in Heidelberg?",Heidelberg,luqx,,
"Wie ist der Stickstoffdioxid in DEBW015?",DEBW015,Stickstoffdioxid,,
"Wie ist der o3 in DEBW015?",DEBW015,o3,,
"Wie ist der Ozon in DEBW015?",DEBW015,Ozon,,
"Wie ist der pm10 in DEBW015?",DEBW015,pm10,,
"Wie ist der Luftqualitätsindex in Heilbronn?",Heilbronn,Luftqualitätsindex,,
"Wie ist der no2 in Heilbronn?",Heilbronn,no2,,
"Wie ist der o3 in Heilbronn?",Heilbronn,o3,,
"Wie ist der Ozon in Heilbronn?",Heilbronn,Ozon,,
"Wie ist der pm25k in Heilbronn?",Heilbronn,pm25k,,
"Wie ist der luqx in DEBW152?",DEBW152,luqx,,
"Wie ist der Ozon in DEBW152?",DEBW152,Ozon,,
"Wie ist der pm10 in DEBW152?",DEBW152,pm10,,
"Wie ist der luqx in Heilbronn Weinsberger Straße-Ost?",Heilbronn Weinsberger Straße-Ost,luqx,,
"Wie ist der no2 in Heilbronn Weinsberger Straße-Ost?",Heilbronn Weinsberger Straße-Ost,no2,,
"Wie ist der Stickstoffdioxid in Heilbronn Weinsberger Straße-Ost?",Heilbronn Weinsberger Straße-Ost,Stickstoffdioxid,,
"Wie ist der pm10 in Heilbronn Weinsberger Straße-Ost?",Heilbronn Weinsberger Straße-Ost,pm10,,
"Wie ist der no2 in DEBW081?",DEBW081,no2,,
"Wie ist der Stickstoffdioxid in DEBW081?",DEBW081,Stickstoffdioxid,,
"Wie ist der o3 in DEBW081?",DEBW081,o3,,
"Wie ist der pm10 in DEBW081?",DEBW081,pm10,,
"Wie ist der pm25k in DEBW081?",DEBW081,pm25k,,
"Wie ist der Luftqualitätsindex in Karlsruhe-Nordwest?",Karlsruhe-Nordwest,Luftqualitätsindex,,
"Wie ist der Stickstoffdioxid in Karlsruhe-Nordwest?",Karlsruhe-Nordwest,Stickstoffdioxid,,
"Wie ist der pm10 in Karlsruhe-Nordwest?",Karlsruhe-Nordwest,pm10,,
"Wie ist der no2 in DEBW080?",DEBW080,no2,,
"Wie ist der o3 in DEBW080?",DEBW080,o3,,
"Wie ist der Ozon in DEBW080?",DEBW080,Ozon,,
"Wie ist der Luftqualitätsindex in Karlsruhe Reinhold-Frank-Straße?",Karlsruhe Reinhold-Frank-Straße,Luftqualitätsindex,,
"Wie ist der no2 in Karlsruhe Reinhold-Frank-Straße?",Karlsruhe Reinhold-Frank-Straße,no2,,
"Wie ist der o3 in Karlsruhe Reinhold-Frank-Straße?",Karlsruhe Reinhold-Frank-Straße,o3,,
"Wie ist der Ozon in Karlsruhe Reinhold-Frank-Straße?",Karlsruhe Reinhold-Frank-Straße,Ozon,,
"Wie ist der luqx in DEBW022?",DEBW022,luqx,,
"Wie ist der no2 in DEBW022?",DEBW022,no2,,
"Wie ist der o3 in DEBW022?",DEBW022,o3,,
"Wie ist der Ozon in DEBW022?",DEBW022,Ozon,,
"Wie ist der no2 in Kehl?",Kehl,no2,,
"Wie ist der Stickstoffdioxid in Kehl?",Kehl,Stickstoffdioxid,,
"Wie ist der o3 in Kehl?",Kehl,o3,,
"Wie ist der Ozon in Kehl?",Kehl,Ozon,,
"Wie ist der pm10 in Kehl?",Kehl,pm10,,
"Wie ist der Luftqualitätsindex in DEBW052?",DEBW052,Luftqualitätsindex,,
"Wie ist der Ozon in DEBW052?",DEBW052,Ozon,,
"Wie ist der pm25k in DEBW052?",DEBW052,pm25k,,
"Wie ist der Luftqualitätsindex in Konstanz?",Konstanz,Luftqualitätsindex,,
"Wie ist der no2 in Konstanz?",Konstanz,no2,,
"Wie ist der o3 in Konstanz?",Konstanz,o3,,
"Wie ist der luqx in DEBW120?",DEBW120,luqx,,
"Wie ist der Luftqualitätsindex in DEBW120?",DEBW120,Luftqualitätsindex,,
"Wie ist der no2 in DEBW120?",DEBW120,no2,,
"Wie ist der Ozon in DEBW120?",DEBW120,Ozon,,
"Wie ist der pm10 in DEBW120?",DEBW120,pm10,,
"Wie ist der pm25k in DEBW120?",DEBW120,pm25k,,
"Wie ist der luqx in Leonberg Grabenstraße?",Leonberg Grabenstraße,luqx,,
"Wie ist der Luftqualitätsindex in Leonberg Grabenstraße?",Leonberg Grabenstraße,Luftqualitätsindex,,
"Wie ist der Stickstoffdioxid in Leonberg Grabenstraße?",Leonberg Grabenstraße,Stickstoffdioxid,,
"Wie ist der o3 in Leonberg Grabenstraße?",Leonberg Grabenstraße,o3,,
"Wie ist der Ozon in Leonberg Grabenstraße?",Leonberg Grabenstraße,Ozon,,
"Wie ist der pm25k in Leonberg Grabenstraße?",Leonberg Grabenstraße,pm25k,,
"Wie ist der Luftqualitätsindex in DEBW024?",DEBW024,Luftqualitätsindex,,
"Wie ist der pm10 in DEBW024?",DEBW024,pm10,,
"Wie ist der pm25k in DEBW024?",DEBW024,pm25k,,
"Wie ist der luqx in Ludwigsburg?",Ludwigsburg,luqx,,
"Wie ist der no2 in Ludwigsburg?",Ludwigsburg,no2,,
"Wie ist der Stickstoffdioxid in Ludwigsburg?",Ludwigsburg,Stickstoffdioxid,,
"Wie ist der o3 in Ludwigsburg?",Ludwigsburg,o3,,
"Wie ist der pm25k in Ludwigsburg?",Ludwigsburg,pm25k,,
"Wie ist der Luftqualitätsindex in DEBW241?",DEBW241,Luftqualitätsindex,,
"Wie ist der Stickstoffdioxid in DEBW241?",DEBW241,Stickstoffdioxid,,
"Wie ist der o3 in DEBW241?",DEBW241,o3,,
"Wie ist der Ozon in DEBW241?",DEBW241,Ozon,,
"Wie ist der pm25k in DEBW241?",DEBW241,pm25k,,
"Wie ist der no2 in Ludwigsburg Schlossstraße?",Ludwigsburg Schlossstraße,no2,,
"Wie ist der Stickstoffdioxid in Ludwigsburg Schlossstraße?",Ludwigsburg Schlossstraße,Stickstoffdioxid,,
"Wie ist der o3 in Ludwigsburg Schlossstraße?",Ludwigsburg Schlossstraße,o3,,
"Wie ist der Ozon in Ludwigsburg Schlossstraße?",Ludwigsburg Schlossstraße,Ozon,,
"Wie ist der pm25k in Ludwigsburg Schlossstraße?",Ludwigsburg Schlossstraße,pm25k,,
"Wie ist der luqx in DEBW098?",DEBW098,luqx,,
"Wie ist der Luftqualitätsindex in DEBW098?",DEBW098,Luftqualitätsindex,,
"Wie ist der Stickstoffdioxid in DEBW098?",DEBW098,Stickstoffdioxid,,
"Wie ist der Ozon in DEBW098?",DEBW098,Ozon,,
"Wie ist der pm10 in DEBW098?",DEBW098,pm10,,
"Wie ist der o3 in Mannheim Friedrichsring?",Mannheim Friedrichsring,o3,,
"Wie ist der Ozon in Mannheim Friedrichsring?",Mannheim Friedrichsring,Ozon,,
"Wie ist der pm25k in Mannheim Friedrichsring?",Mannheim Friedrichsring,pm25k,,
"Wie ist der Stickstoffdioxid in DEBW005?",DEBW005,Stickstoffdioxid,,
"Wie ist der o3 in DEBW005?",DEBW005,o3,,
"Wie ist der luqx in Mannheim-Nord?",Mannheim-Nord,luqx,,
"Wie ist der no2 in Mannheim-Nord?",Mannheim-Nord,no2,,
"Wie ist der Ozon in Mannheim-Nord?",Mannheim-Nord,Ozon,,
"Wie ist der pm10 in Mannheim-Nord?",Mannheim-Nord,pm10,,
"Wie ist der Luftqualitätsindex in DEBW073?",DEBW073,Luftqualitätsindex,,
"Wie ist der Stickstoffdioxid in DEBW073?",DEBW073,Stickstoffdioxid,,
"Wie ist der o3 in DEBW073?",DEBW073,o3,,
"Wie ist der luqx in Neuenburg?",Neuenburg,luqx,,
"Wie ist der Luftqualitätsindex in Neuenburg?",Neuenburg,Luftqualitätsindex,,
"Wie ist der Stickstoffdioxid in Neuenburg?",Neuenburg,Stickstoffdioxid,,
"Wie ist der Ozon in Neuenburg?",Neuenburg,Ozon,,
"Wie ist der pm10 in Neuenburg?",Neuenburg,pm10,,
"Wie ist der pm25k in Neuenburg?",Neuenburg,pm25k,,
"Wie ist der Luftqualitätsindex in DEBW125?",DEBW125,Luftqualitätsindex,,
"Wie ist der Stickstoffdioxid in DEBW125?",DEBW125,Stickstoffdioxid,,
"Wie ist der o3 in DEBW125?",DEBW125,o3,,
"Wie ist der pm10 in DEBW125?",DEBW125,pm10,,
"Wie ist der luqx in Pfinztal Karlsruher Straße?",Pfinztal Karlsruher Straße,luqx,,
"Wie ist der no2 in Pfinztal Karlsruher Straße?",Pfinztal Karlsruher Straße,no2,,
"Wie ist der Ozon in Pfinztal Karlsruher Straße?",Pfinztal Karlsruher Straße,Ozon,,
"Wie ist der pm10 in Pfinztal Karlsruher Straße?",Pfinztal Karlsruher Straße,pm10,,
"Wie ist der pm25k in Pfinztal Karlsruher Straße?",Pfinztal Karlsruher Straße,pm25k,,
"Wie ist der no2 in DEBW033?",DEBW033,no2,,
"Wie ist der Ozon in DEBW033?",DEBW033,Ozon,,
"Wie ist der luqx in Pforzheim?",Pforzheim,luqx,,
"Wie ist der no2 in Pforzheim?",Pforzheim,no2,,
"Wie ist der pm10 in Pforzheim?",Pforzheim,pm10,,
"Wie ist der pm25k in Pforzheim?",Pforzheim,pm25k,,
"Wie ist der luqx in DEBW027?",DEBW027,luqx,,
"Wie ist der Luftqualitätsindex in DEBW027?",DEBW027,Luftqualitätsindex,,
"Wie ist der no2 in DEBW027?",DEBW027,no2,,
"Wie ist der Ozon in DEBW027?",DEBW027,Ozon,,
"Wie ist der luqx in Reutlingen?",Reutlingen,luqx,,
"Wie ist der pm10 in Reutlingen?",Reutlingen,pm10,,
"Wie ist der Stickstoffdioxid in DEBW147?",DEBW147,Stickstoffdioxid,,
"Wie ist der Ozon in DEBW147?",DEBW147,Ozon,,
"Wie ist der luqx in Reutlingen Lederstraße-Ost?",Reutlingen Lederstraße-Ost,luqx,,
"Wie ist der Luftqualitätsindex in Reutlingen Lederstraße-Ost?",Reutlingen Lederstraße-Ost,Luftqualitätsindex,,
"Wie ist der o3 in Reutlingen Lederstraße-Ost?",Reutlingen Lederstraße-Ost,o3,,
"Wie ist der luqx in DEBW156?",DEBW156,luqx,,
"Wie ist der no2 in DEBW156?",DEBW156,no2,,
"Wie ist der Stickstoffdioxid in DEBW156?",DEBW156,Stickstoffdioxid,,
"Wie ist der o3 in DEBW156?",DEBW156,o3,,
"Wie ist der Ozon in DEBW156?",DEBW156,Ozon,,
"Wie ist der pm10 in DEBW156?",DEBW156,pm10,,
"Wie ist der Luftqualitätsindex in Schramberg Oberndorfer Straße?",Schramberg Oberndorfer Straße,Luftqualitätsindex,,
"Wie ist der Stickstoffdioxid in Schramberg Oberndorfer Straße?",Schramberg Oberndorfer Straße,Stickstoffdioxid,,
"Wie ist der Ozon in Schramberg Oberndorfer Straße?",Schramberg Oberndorfer Straße,Ozon,,
"Wie ist der pm25k in Schramberg Oberndorfer Straße?",Schramberg Oberndorfer Straße,pm25k,,
"Wie ist der luqx in DEBW087?",DEBW087,luqx,,
"Wie ist der no2 in DEBW087?",DEBW087,no2,,
"Wie ist der Ozon in DEBW087?",DEBW087,Ozon,,
"Wie ist der no2 in Schwäbische Alb?",Schwäbische Alb,no2,,
"Wie ist der Ozon in Schwäbische Alb?",Schwäbische Alb,Ozon,,
"Wie ist der pm25k in Schwäbische Alb?",Schwäbische Alb,pm25k,,
"Wie ist der Luftqualitätsindex in DEBW031?",DEBW031,Luftqualitätsindex,,
"Wie ist der no2 in DEBW031?",DEBW031,no2,,
"Wie ist der Stickstoffdioxid in DEBW031?",DEBW031,Stickstoffdioxid,,
"Wie ist der Ozon in DEBW031?",DEBW031,Ozon,,
"Wie ist der no2 in Schwarzwald-Süd?",Schwarzwald-Süd,no2,,
"Wie ist der Stickstoffdioxid in Schwarzwald-Süd?",Schwarzwald-Süd,Stickstoffdioxid,,
"Wie ist der o3 in Schwarzwald-Süd?",Schwarzwald-Süd,o3,,
"Wie ist der Ozon in Schwarzwald-Süd?",Schwarzwald-Süd,Ozon,,
"Wie ist der pm10 in Schwarzwald-Süd?",Schwarzwald-Süd,pm10,,
"Wie ist der pm25k in Schwarzwald-Süd?",Schwarzwald-Süd,pm25k,,
"Wie ist der Stickstoffdioxid in DEBW118?",DEBW118,Stickstoffdioxid,,
"Wie ist der o3 in DEBW118?",DEBW118,o3,,
"Wie ist der pm10 in DEBW118?",DEBW118,pm10,,
"Wie ist der pm25k in DEBW118?",DEBW118,pm25k,,
"Wie ist der luqx in Stuttgart Am Neckartor?",Stuttgart Am Neckartor,luqx,,
"Wie ist der Luftqualitätsindex in Stuttgart Am Neckartor?",Stuttgart Am Neckartor,Luftqualitätsindex,,
"Wie ist der Stickstoffdioxid in Stuttgart Am Neckartor?",Stuttgart Am Neckartor,Stickstoffdioxid,,
"Wie ist der o3 in Stuttgart Am Neckartor?",Stuttgart Am Neckartor,o3,,
"Wie ist der pm10 in Stuttgart Am Neckartor?",Stuttgart Am Neckartor,pm10,,
"Wie ist der Luftqualitätsindex in DEBW099?",DEBW099,Luftqualitätsindex,,
"Wie ist der Ozon in DEBW099?",DEBW099,Ozon,,
"Wie ist der pm25k in DEBW099?",DEBW099,pm25k,,
"Wie ist der no2 in Stuttgart Arnulf-Klett-Platz?",Stuttgart Arnulf-Klett-Platz,no2,,
"Wie ist der Stickstoffdioxid in Stuttgart Arnulf-Klett-Platz?",Stuttgart Arnulf-Klett-Platz,Stickstoffdioxid,,
"Wie ist der Ozon in Stuttgart Arnulf-Klett-Platz?",Stuttgart Arnulf-Klett-Platz,Ozon,,
"Wie ist der pm10 in Stuttgart Arnulf-Klett-Platz?",Stuttgart Arnulf-Klett-Platz,pm10,,
"Wie ist der pm25k in Stuttgart Arnulf-Klett-Platz?",Stuttgart Arnulf-Klett-Platz,pm25k,,
"Wie ist der luqx in DEBW013?",DEBW013,luqx,,
"Wie ist der Stickstoffdioxid in DEBW013?",DEBW013,Stickstoffdioxid,,
"Wie ist der o3 in DEBW013?",DEBW013,o3,,
"Wie ist der Ozon in DEBW013?",DEBW013,Ozon,,
"Wie ist der pm10 in DEBW013?",DEBW013,pm10,,
"Wie ist der luqx in Stuttgart-Bad Cannstatt?",Stuttgart-Bad Cannstatt,luqx,,
"Wie ist der no2 in Stuttgart-Bad Cannstatt?",Stuttgart-Bad Cannstatt,no2,,
"Wie ist der o3 in Stuttgart-Bad Cannstatt?",Stuttgart-Bad Cannstatt,o3,,
"Wie ist der Ozon in Stuttgart-Bad Cannstatt?",Stuttgart-Bad Cannstatt,Ozon,,
"Wie ist der Luftqualitätsindex in LUBW082?",LUBW082,Luftqualitätsindex,,
"Wie ist der no2 in LUBW082?",LUBW082,no2,,
"Wie ist der Stickstoffdioxid in LUBW082?",LUBW082,Stickstoffdioxid,,
"Wie ist der pm10 in LUBW082?",LUBW082,pm10,,
"Wie ist der pm25k in LUBW082?",LUBW082,pm25k,,
"Wie ist der no2 in Stuttgart Hauptstätter Straße?",Stuttgart Hauptstätter Straße,no2,,
"Wie ist der Ozon in Stuttgart Hauptstätter Straße?",Stuttgart Hauptstätter Straße,Ozon,,
"Wie ist der pm10 in Stuttgart Hauptstätter Straße?",Stuttgart Hauptstätter Straße,pm10,,
"Wie ist der pm25k in Stuttgart Hauptstätter Straße?",Stuttgart Hauptstätter Straße,pm25k,,
"Wie ist der no2 in DEBW116?",DEBW116,no2,,
"Wie ist der Stickstoffdioxid in DEBW116?",DEBW116,Stickstoffdioxid,,
"Wie ist der o3 in DEBW116?",DEBW116,o3,,
"Wie ist der Ozon in DEBW116?",DEBW116,Ozon,,
"Wie ist der pm10 in DEBW116?",DEBW116,pm10,,
"Wie ist der Luftqualitätsindex in Stuttgart Hohenheimer Straße?",Stuttgart Hohenheimer Straße,Luftqualitätsindex,,
"Wie ist der Stickstoffdioxid in Stuttgart Hohenheimer Straße?",Stuttgart Hohenheimer Straße,Stickstoffdioxid,,
"Wie ist der o3 in Stuttgart Hohenheimer Straße?",Stuttgart Hohenheimer Straße,o3,,
"Wie ist der pm10 in Stuttgart Hohenheimer Straße?",Stuttgart Hohenheimer Straße,pm10,,
"Wie ist der pm25k in Stuttgart Hohenheimer Straße?",Stuttgart Hohenheimer Straße,pm25k,,
"Wie ist der luqx in DEBW059?",DEBW059,luqx,,
"Wie ist der Luftqualitätsindex in DEBW059?",DEBW059,Luftqualitätsindex,,
"Wie ist der no2 in DEBW059?",DEBW059,no2,,
"Wie ist der o3 in DEBW059?",DEBW059,o3,,
"Wie ist der Luftqualitätsindex in Tauberbischofsheim?",Tauberbischofsheim,Luftqualitätsindex,,
"Wie ist der no2 in Tauberbischofsheim?",Tauberbischofsheim,no2,,
"Wie ist der Stickstoffdioxid in Tauberbischofsheim?",Tauberbischofsheim,Stickstoffdioxid,,
"Wie ist der Stickstoffdioxid in DEBW107?",DEBW107,Stickstoffdioxid,,
"Wie ist der pm25k in DEBW107?",DEBW107,pm25k,,
"Wie ist der luqx in Tübingen?",Tübingen,luqx,,
"Wie ist der Luftqualitätsindex in Tübingen?",Tübingen,Luftqualitätsindex,,
"Wie ist der no2 in Tübingen?",Tübingen,no2,,
"Wie ist der o3 in Tübingen?",Tübingen,o3,,
"Wie ist der pm25k in Tübingen?",Tübingen,pm25k,,
"Wie ist der Luftqualitätsindex in DEBW136?",DEBW136,Luftqualitätsindex,,
"Wie ist der no2 in DEBW136?",DEBW136,no2,,
"Wie ist der Ozon in DEBW136?",DEBW136,Ozon,,
"Wie ist der pm10 in DEBW136?",DEBW136,pm10,,
"Wie ist der pm25k in DEBW136?",DEBW136,pm25k,,
"Wie ist der luqx in Tübingen Mühlstraße?",Tübingen Mühlstraße,luqx,,
"Wie ist der Ozon in Tübingen Mühlstraße?",Tübingen Mühlstraße,Ozon,,
"Wie ist der pm10 in Tübingen Mühlstraße?",Tübingen Mühlstraße,pm10,,
"Wie ist der no2 in DEBW019?",DEBW019,no2,,
"Wie ist der Stickstoffdioxid in DEBW019?",DEBW019,Stickstoffdioxid,,
"Wie ist der o3 in DEBW019?",DEBW019,o3,,
"Wie ist der Ozon in DEBW019?",DEBW019,Ozon,,
"Wie ist der Luftqualitätsindex in Ulm?",Ulm,Luftqualitätsindex,,
"Wie ist der Stickstoffdioxid in Ulm?",Ulm,Stickstoffdioxid,,
"Wie ist der o3 in Ulm?",Ulm,o3,,
"Wie ist der pm25k in Ulm?",Ulm,pm25k,,
"Wie ist der luqx in DEBW039?",DEBW039,luqx,,
"Wie ist der Luftqualitätsindex in DEBW039?",DEBW039,Luftqualitätsindex,,
"Wie ist der o3 in DEBW039?",DEBW039,o3,,
"Wie ist der Ozon in DEBW039?",DEBW039,Ozon,,
"Wie ist der pm10 in DEBW039?",DEBW039,pm10,,
"Wie ist der pm25k in DEBW039?",DEBW039,pm25k,,
"Wie ist der luqx in Villingen-Schwenningen?",Villingen-Schwenningen,luqx,,
"Wie ist der Luftqualitätsindex in Villingen-Schwenningen?",Villingen-Schwenningen,Luftqualitätsindex,,
